author,date,title,summary,link
Sophia Harris,"Nov 01, 2022","Meet Mihaela Gheorghe, our Support Engineer",Mihaela Gheorghe has always loved working with people - that’s the one thing that hasn’t changed since she had her very first job at a construction company 13 years ago.,/blog/post/welcome-to-amazee-io-mihaela
Sophia Harris,"Oct 31, 2022",How to get support from amazee.io,"A guide for fast and easy support from amazee.io’s expert team. Always humans, never bots. 24/7/365 support on demand.",/blog/post/how-to-get-support-from-amazee-io
Sophia Harris,"Sep 12, 2022","Meet Jay Porter, our Technical Account Manager","Jay built his technical skills from the ground up: His first job was actually as a computer repairman, where he fixed PCs at a small shop. Eventually, his boss asked him if he wanted to learn Linux, and he said yes.",/blog/post/welcome-jay-porter
Franz Karlsberger,"Jul 26, 2022",Taking steps to further improve the developer experience: amazee.io joins Mirantis,I am excited to announce that amazee.io has joined the global team at Mirantis.,/blog/post/amazee-io-joins-mirantis
Michael Schmid,"Jul 19, 2022",amazee.io is now a Kubernetes Certified Service Provider (KCSP),amazee.io is thrilled to announce that we are now a Kubernetes-Certified Service Provider (KCSP). Read more in our blog post.,/blog/post/amazeeio-is-now-a-kubernetes-certified-service-provider
Sophia Harris,"Jul 11, 2022","Meet Chris Goodwin, our Software Engineer","Chris’s journey to software development hasn’t always been straightforward, but he’s had some interesting experiences along the way.",/blog/post/welcome-chris-goodwin
Sophia Harris,"Jul 04, 2022",Meet amazee.io's new Systems Support Engineer – Deeksha Kini,"Deeksha is incredibly solution-oriented, and she is most proud of her ability to solve problems in the best way possible.",/blog/post/welcome-deeksha-kini
Sophia Harris,"Jun 16, 2022",Meet our new Platform Engineer – Brittany Mitchell,"Although Brittany started as an electronics engineer, she quickly moved into the platform engineering path and enjoys it.",/blog/post/new-platform-engineer-brittany-mitchell
Sophia Harris,"May 02, 2022","Say hello to Peter, our new Technical Account Manager","Peter Wettstein knew early on that his career’s future would be in Cloud Services: He worked as an account manager at IBM Switzerland, and soon after joined Interxion, where he learned to love cloud computing and strategy.",/blog/post/say-hello-to-peter-wettstein
Sophia Harris,"Apr 01, 2022","Meet Beau Brady, our Client Engagement Manager","Beau excels at problem-solving, making decisions, and building better processes - along with team building and leading sales teams to success.",/blog/post/welcome-beau-brady
Sophia Harris,"Mar 14, 2022","Meet Bobby Kindle, our Technical Account Manager","After a few years of hardware engineering, Bobby was ready for a new challenge - and his path took yet another turn. He moved into systems/ network administration and IT management, and he loved that he was able to continuously learn, grow, and improve his skills.",/blog/post/welcome-bobby-our-new-technical-account-manager
Sophia Harris,"Mar 08, 2022",Meet Us At CloudFest 2022,"amazee.io will be attending CloudFest 2022, in Rust, Germany. Meet us at the largest international cloud computing & web hosting event!",/blog/post/meet-us-at-cloudfest-2022
Jason Lewis,"Mar 01, 2022",Say hi to our new Content Marketing Manager – Sophia Harris,"Googling Sophia Harris, you’ll find a variety of articles, blogs, whitepapers, & ebooks written by her on topics ranging from food reviews to machine learning",/blog/post/new-content-marketing-manager-sophia-harris
Stephanie Ogozaly,"Jan 10, 2022",Watch Now: amazee.io at DrupalSouth ‘Shorts’ 2021,DrupalSouth ‘Shorts’ 2021 has come and gone—but don’t worry! We’ve rounded up a few of our favorite videos from the event featuring the experts from amazee.io.,/blog/post/watch-now-amazee-io-at-drupalsouth-shorts-2021
Stephanie Ogozaly,"Dec 17, 2021",Joint Webinar Recap: Advanced Lando-ing with Lagoon,"The teams from amazee.io, Lagoon and Lando recently got together for a discussion on how to harness some of the more advanced Lando features and functionality, and learn how they interoperate with similar Lagoon functionality.",/blog/post/joint-webinar-recap-advanced-lando-ing-with-lagoon
Stephanie Ogozaly,"Dec 01, 2021","Meet Ashleigh King, our Client Engagement Manager",Project and account management has been a perfect fit for Ashleigh because she excels at communication and relationship building.,/blog/post/welcome-ashleigh-king
Stephanie Ogozaly,"Nov 17, 2021",Joint Webinar: Advanced Lando-ing with Lagoon,You’re invited to join the teams from amazee.io/Lagoon and Tandem/Lando to witness the power of Lando + Lagoon.,/blog/post/joint-webinar-advanced-lando-ing-with-lagoon
Stephanie Ogozaly,"Oct 27, 2021",Are you ready for DrupalSouth Shorts?,"Will you join amazee.io (and the rest of the Drupal community in Australia and New Zealand) for DrupalSouth ‘Shorts’ on Thursday, 11 November?",/blog/post/are-you-ready-for-drupalsouth-shorts
Stephanie Ogozaly,"Sep 28, 2021",Visit our booth at Drupal GovCon 2021,"Don't forget to stop by amazee.io's booth at Drupal GovCon 2021! We'll be on hand to answer your questions, showcase our open source WebOps platform, and talk about all things Drupal.",/blog/post/visit-our-booth-at-drupal-govcon-2021
Stephanie Ogozaly,"Sep 20, 2021",Meet us at DrupalCon Europe 2021,Will we see you at DrupalCon Europe this year? The event brings the European Drupal community together to learn and share insights with their peers.,/blog/post/meet-us-at-drupalcon-europe-2021
Matthew Smith,"Sep 02, 2021",Asynchronous communication in a globally remote team,"When it comes to business, being able to work across multiple time zones, especially being a web services provider like ourselves, is really useful, and necessary.",/blog/post/asynchronous-communication-in-a-globally-remote-team
Stephanie Ogozaly,"Aug 24, 2021",Join our Drupal4Gov webinar on how to survive high-traffic events,"Join Michael Schmid, Head of Technology and Founder of amazee.io, for his upcoming Drupal4Gov webinar. Read on for more details.",/blog/post/join-our-drupal4gov-september-webinar
Stephanie Ogozaly,"Aug 10, 2021","We’ll be at DeveloperWeek Global: Cloud, September 14-15","Running from September 14-15, the event will bring together cloud engineers and developers, IT managers, entrepreneurs, and innovators to talk about the latest in cloud computing.",/blog/post/developerweek-global-cloud-2021
Stephanie Ogozaly,"Aug 05, 2021",We’ll see you at DrupalSouth Shorts 2021,We will be joining our fellow Drupal developers & users at DrupalSouth ‘Shorts’ to salute the past 20 years of Drupal and get the scoop on what’s next.,/blog/post/see-you-at-drupalsouth-shorts-2021
Stephanie Ogozaly,"Jun 22, 2021",Our highlights from New Zealand Techweek2021,"As a global organization, amazee.io is privileged to have a “boots on the ground” view of the innovation and creativity behind many of today’s top technologies and trends all over the world.",/blog/post/our-highlights-from-new-zealand-techweek2021
Stephanie Ogozaly,"Jun 01, 2021","Welcome Jason Lewis, our Brand Ambassador",Jason has more than 20 years of experience in Creative Design and Marketing. This includes working at RCDP for South African design legend Roy Clucas as well as Creative Director roles at Strika Entertainment and Robboto.,/blog/post/meet-brand-ambassador-jason-lewis
Stephanie Ogozaly,"May 27, 2021","Meet Ingrid Talbot, our BizOps Lead","Meet Inky, who looks forward to providing structure to help the company scale easily & digging into creating a sustainable & profitable company.",/blog/post/meet-our-new-bizops-lead-ingrid-talbot
Stephanie Ogozaly,"May 19, 2021","Joint Webinar Recap: Developer Portals as a Service, enabled by amazee.io","We recently teamed up with our partner Pronovix for a discussion on creating developer portals and documentation that earn the trust of your community, and how to simplify and accelerate the process.",/blog/post/joint-webinar-recap-developer-portals-as-a-service
Stephanie Ogozaly,"May 13, 2021",Join us at New Zealand Techweek2021,We’re excited to once again speak at New Zealand Techweek 2021. The lineup is stellar! Come celebrate fresh ideas and advancements with us!,/blog/post/join-amazee-io-at-new-zealand-techweek2021
Seth Meeks,"May 05, 2021",Celebrating 5 years of Making Developers’ Lives Easier,Five years ago we said we wanted to make life easier for developers. How are we fulfilling that promise today? Read on to find out.,/blog/post/celebrating-5-years-of-making-developers-lives-easier
Stephanie Ogozaly,"Apr 23, 2021","Joint Webinar - DevPortal as a Service, deployed wherever the customer needs it, enabled by amazee.io","If you’ve ever launched an API program, you know how hard it can be. To be successful you will not only need to treat your APIs as products, you will also need to create a developer portal and a ton of documentation to earn the trust of your community.",/blog/post/joint-webinar-devportal-as-a-service-enabled-by-amazeeio
Stephanie Ogozaly,"Apr 21, 2021",DrupalCon North America 2021 Recap: The amazee.io Sessions,"Another DrupalCon has come and gone! Can you believe it?
amazee.io was happy to sponsor DrupalCon North America this year but even happier to get to know new people in the Drupal community and catch up with old friends.",/blog/post/drupalcon-na-2021-recap-the-amazee-io-sessions
Seth Meeks,"Apr 15, 2021",Join us for amazee.io’s Virtual Birthday Panel!,"We’re celebrating amazee.io’s 5th Birthday with a Virtual Panel and Q&A. Mark your calendars, and celebrate this momentous occasion with us!",/blog/post/amazee-io-virtual-birthday-panel
Stephanie Ogozaly,"Mar 30, 2021",Crank It Up: The amazee.io 2021 Playlist Has Arrived,"Sometimes, you need to go beyond messaging apps for the fun stuff. Treat your earbuds to our exquisite 2021 playlist—Crank it up 🎚️!",/blog/post/crank-it-up-the-amazee-io-2021-playlist
Seth Meeks,"Mar 25, 2021","We’re going to DrupalCon North America, April 12–16","DrupalCon North America 2021 is almost here! With sessions ranging from best practices & gaining new skills to innovative strategies, it'll be Drupalicious!",/blog/post/we-are-going-to-drupalcon-north-america
Stephanie Ogozaly,"Mar 09, 2021",Get to Know a Technical Account Management Lead: Sean Hamlin,"Meet Sean Hamlin, our Technical Account Management Lead",/blog/post/get-to-know-a-tam-sean-hamlin
Seth Meeks,"Mar 01, 2021",Meet our new Partner Manager — Bryan Gruneberg!,"As the amazee.io Partner Manager, Bryan heads up our Agency Partner Program, coordinating day-to-day partner activities, as well as identifying and pursuing joint Go-to-market opportunities.",/blog/post/our-new-partner-manager-bryan-gruneberg
Seth Meeks,"Mar 01, 2021",Say hello to our new Developer Experience and CI/CD Engineer – Tim Clifford,"Meet Tim, a seasoned software engineer with experience in co-founding & running digital and web-startups, dedicated to supporting open-source projects",/blog/post/say-hello-to-tim-clifford
Seth Meeks,"Mar 01, 2021","Meet Martin Schlögl, our Head of Sales","Meet Martin, who loves connecting customers and engineering teams using his technical education and background, combined with his communicative skills",/blog/post/welcome-to-the-team-martin
Seth Meeks,"Mar 01, 2021",Introducing our new Developer Experience and CI/CD Engineer – Blaize Kaye,"Get to know Blaize, who was born in South Africa, but now lives in New Zealand, and is our new Developer Experience Engineer.",/blog/post/introducing-blaize-kaye
Seth Meeks,"Feb 22, 2021",A warm amazee.io welcome to Jessica Perschke - our new Software Engineer!,Jessica grew up on the east coast of the US and enjoys playing with nearly all aspects of technology. She spent a year learning Python and Java before joining amazee.io,/blog/post/a-warm-welcome-to-jessica-perschke
Stephanie Ogozaly,"Feb 10, 2021",Joint Webinar Recap: The Future of Web Development and Hosting,"amazee.io teamed up with Fastly, Redmonk, and Gatsby for a roundtable discussion on the future of web development and web hosting, including how next-generation cloud options can be leveraged for better performance, security, and scalability.",/blog/post/joint-webinar-recap-the-future-of-web-development
Seth Meeks,"Feb 05, 2021",DrupalCon Europe 2020 Speaker Video Replay,DrupalCon Europe 2020 was another fantastic opportunity to interact with the open source community and to share our latest development with Lagoon and how we’ve improved our Web Hosting offering over the last year.,/blog/post/drupalcon-europe-2020-speaker-video-replay
Seth Meeks,"Jan 25, 2021",Meet our new Product Designer – AC Cowart!,"AC is a product designer who uses human-centered design as a tool to find clarity in the ambiguous, calm in the chaos, and to create joy in the mundane.",/blog/post/meet-our-new-product-designer--ac-cowart
Seth Meeks,"Jan 15, 2021",Joint Webinar - The future of web development and hosting: how to build performance apps for the modern web,"Join our webinar with Fastly, Gatsby, Redmonk, and amazee.io and get answers to all your questions about the future of web development and web hosting.",/blog/post/joint-webinar---the-future-of-web-development-and-hosting
Seth Meeks,"Dec 07, 2020","Meet Stephanie Ogozaly, our Solutions Marketing Manager","Meet Stephanie, who has created content and marketing plans for various industries, including technology, healthcare, staffing, food service, & cybersecurity.",/blog/post/introducing-stephanie-ogozaly-solutions-marketing-manager
Seth Meeks,"Dec 04, 2020",DrupalGov 2020 Sessions Recap,"Sticking to this year’s speaker theme of inspiration, we wanted to share our highlights for anyone who wasn’t able to attend or who just wanted another taste of the magic.",/blog/post/drupalgov-2020-sessions-recap
Seth Meeks,"Nov 24, 2020",See You at DrupalCon Europe 2020,"This year it's more important than ever to participate. So, we’re extra amped to sponsor, attend, and speak at DrupalCon Europe 2020’s virtual conference.",/blog/post/see-you-at-drupalcon-europe-2020
Seth Meeks,"Nov 20, 2020",Webinar Recap: How to simplify your development workflow with Lando and Lagoon,"This open-source DevOps roundtable discussion centered around Lando and Lagoon’s shared aim to be as accessible and easy to use as possible, plus the importance of flexible but solid development workflows, and how the cloud will influence developer workflows in the future.",/blog/post/webinar-recap-how-to-simplify-your-development-workflow
Seth Meeks,"Nov 06, 2020",Webinar: Simplifying your development workflow with Lando and Lagoon,"Join amazee.io and Tandem for a roundtable discussion about DevOps best-practices and insights, as well as a demo of the new integration between Lando and Lagoon.",/blog/post/lando-and-lagoon-webinar
Seth Meeks,"Nov 05, 2020","Welcome to the team, Jonathan Peter – our new IT LEAD!","Jonathan has high-quality standards and a keen eye for detail. He’s proud of his ability to think ahead and see the big picture - to detect, understand and take action on IT needs; and he finds it very rewarding being a bridge between technology and people.",/blog/post/welcome-to-the-team-jonathan-peter
Toby Bellwood,"Nov 04, 2020",Webinar Recap: Lagoon Insights,"Lagoon Insights is an umbrella term for a growing suite of features included in Lagoon that provide additional intelligence for your web applications. The webinar introduced and explained our Problems, Facts, and Metadata functionality.",/blog/post/webinar-recap-lagoon-insights
Seth Meeks,"Oct 29, 2020","We're Sponsoring, Attending and Speaking at DrupalGov 2020 in Australia","We’re attending DrupalGov 2020, an event dedicated to the Australian and New Zealand government sector. Come to our talks and visit our booth!",/blog/post/were-sponsoring-drupalgov-2020-australia
Felix Morgan,"Oct 28, 2020",Webinar Recap: How Governments Can Leverage Open Source and the Cloud,"Listen in to our candid discussion & Q&A with Catalyst Cloud about providers across managed services, infrastructure, and application development",/blog/post/amazee.io-catalyst-cloud-sparks-panel-discussion
Toby Bellwood,"Oct 12, 2020",Lagoon Insights webinar,"Take control of your application with Lagoon's newest features including vulnerability detection, version tracking, notifications, and more. Learn about Lagoon Insights in our next webinar, happening on October 20th.",/blog/post/lagoon-insights-webinar
Seth Meeks,"Oct 07, 2020",BADCamping Virtually Together,"We’re going BADCamping! BADCamp provides the Drupal community with fun, inspiring, and safe opportunities to teach, learn, and share.",/blog/post/badcamping-virtually-together
Toby Bellwood,"Oct 01, 2020",Lagoon Hacktoberfest 2020  – call for more examples!,"Hacktoberfest is an annual, month-long celebration of open source software designed to drive participation in open source communities.",/blog/post/lagoon-hacktoberfest-2020-call-for-more-examples
Felix Morgan,"Sep 25, 2020","Proud to be Global, Distributed, and Open Source",We’re a fully distributed company. Learn how we collaborate with colleagues globally to build & maintain our open source enterprise hosting platform,/blog/post/global-distributed-and-open-source
Seth Meeks,"Sep 17, 2020",Drupal GovCon 2020 – Here We Come!,We’re proud to attend and speak at Drupal GovCon 2022. Digital practitioners across the public sector will congregate to share learnings and best practices.,/blog/post/drupal-govcon-2020--here-we-come
Nicole DeAngelis,"Sep 14, 2020",Upcoming Webinar: How Governments can Leverage Open Source and the Cloud,In this webinar we will provide insights and clarity around how governments can successfully transition to cloud and open source.,/blog/post/upcoming-webinar-how-governments-can-leverage-open-source
Felix Morgan,"Sep 01, 2020",A warm amazee.io welcome to Salvatore Pappalardo – our new Systems Engineer,"With over ten years of experience in remote work, Salvatore likes to call himself a remote work evangelist. He’s a software developer with strengths in the backend and Ops.",/blog/post/a-warm-amazee.io-welcome-to-salvatore-pappalardo
Matthew Smith,"Aug 21, 2020",Life as a Systems Engineer at amazee.io,"Let us dive a bit deeper and introduce you to the people behind amazee.io. Today, two of our Systems Engineers—Thom and Bastian—are taking the stage.",/blog/post/life-as-a-systems-engineer-at-amazee.io
Seth Meeks,"Aug 12, 2020","Welcome, Chandana Karunaratne!","Chandana is a technical support engineer, learner, and problem solver. He works with systems engineers to support open source hosting solutions.",/blog/post/welcome-chandana-karunaratne
Alanna Burke,"Jul 22, 2020",Our DrupalCon Global Recap,"We had a great week of learning, sharing, and (virtually) hanging out with Drupalists at DrupalCon Global 2020. Here are some highlights.",/blog/post/our-drupalcon-global-recap
Toby Bellwood,"Jul 13, 2020",Office Hours,amazee.io is hosting another Office Hours on July 21st. Register to join!,/blog/post/office-hours
Felix Morgan,"Jul 08, 2020",We’re going to DrupalCon Global — see you online!,"Mark your calendars! DrupalCon Global is just a few days away! July 14th - 17th, Drupal’s Open Source Digital Experience Conference promises to be a one-of-kind event, with everything you’d expect from any other DrupalCon with an expanded global audience and more!",/blog/post/were-going-to-drupalcon-global
Matthew Smith,"Jun 18, 2020",amazee.io – a worldwide family,"amazee.io is a fully remote team. With flexible working hours & global distribution from Auckland, Zurich, to California, what’s it like to work for amazee.io?",/blog/post/amazee.io--a-worldwide-family
Ben Jackson,"Jun 12, 2020",Webinar: How to Run Blue-Green Deployments with Active/Standby on Lagoon,Lagoon has rolled out functionality to enable a blue-green deployment called Active/Standby for our hosted sites. Learn how to enable a site for Active/Standby.,/blog/post/webinar-how-to-run-blue-green-deployments-with-active-standby-on-lagoon
Seth Meeks,"May 19, 2020","A warm amazee.io welcome to Alanna Burke, our new expert on Documentation, Training, and Developer Relations!",Alanna loves Drupal & CMSs. She serves as a track chair for DrupalCon North America & is on the leadership team of Drupal Diversity and Inclusion,/blog/post/after-ten-years-as-a-back-end-developer-alanna-decided
Seth Meeks,"May 07, 2020",Join us in welcoming Toby Bellwood – our new Product Lead!,"Toby has had a broad and diverse career, mostly technology-focused. He’s a long-time map, data, and open source nerd.",/blog/post/join-us-in-welcoming-toby-bellwood--our-new-product
Franz Karlsberger,"Apr 13, 2020",Supporting COVID-19 Response Efforts,"Read our CEOs, Franz Karlsberger, thoughts on how, as a community, we can master the global pandemic together and how we plan to manage the situation",/blog/post/driven-by-a-global-pandemic-the-world-is-changing
Michael Schmid,"Apr 06, 2020",Webinar RECAP: Lagoon 2.0: Deploy into Kubernetes and more!,Dive into this webinar where we highlight Lagoon Version 2’s biggest and most exciting new feature: the capability to deploy into Native Kubernetes clusters.,/blog/post/webinar-recap-lagoon-2.0-deploy-into-kubernetes-and
Michael Schmid,"Mar 31, 2020",CEO Franz Karlsberger takes the reins,"We’re delighted to announce Franz Karlsberger as CEO - he will take up the reins on April 1st, sharing management responsibilities with Michael Schmid & Thom Toogood.",/blog/post/ceo-franz-karlsberger-takes-the-reins
Aysha Hoque,"Mar 27, 2020","Women in Tech Spotlight: Interview with Dania Gerhardt, Co-Founder of Amazee Group","Celebrating Women's History Month with our own tech role model, Dania Gerhardt, amazee.io Cofounder! Read her inspiring story as a Woman in Tech.",/blog/post/women-in-tech-spotlight-interview-witb-dania-gerhardt-co-founder-of-amazee-group
Felix Morgan,"Feb 07, 2020",Support for Native Kubernetes – Austin Sprint Week Recap,"Discover the results of our week of intense coding, fondue, and fun in Austin, TX, as we sprinted to deploy Lagoon into Kubernetes and kick off 2020.",/blog/post/austin-sprint-week-recap
Seth Meeks,"Feb 03, 2020","Welcome to the team, Nicole Richie!",amazee.io is excited for you to meet our Client Services Lead — Nicole Ritchie.,/blog/post/welcome-to-the-team-nicole-ritchie
Felix Morgan,"Jan 16, 2020",DrupalCon Highlights Video: Another Great Year of Open Source Events,"As we look forward to another great year of events, we want to share some of the moments that made DrupalCon Amsterdam a highlight of 2019.",/blog/post/drupalcon-highlights-video-another-great-year-of-open-source-events
Seth Meeks,"Dec 12, 2019","Welcome on board, Justin!","amazee.io is happy to announce our new Senior Software Engineer — Justin Winter. Born in Pennsylvania, Justin lived in many different places — from Northern ...",/blog/post/welcome-on-board-justin
